id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7457128838692537110,2025-01-07 11:09:02,gut und was ist mit den syrischen bürgern die hier noch nie gearbeitet haben und somit auch keinen beitrag leisten sollen wir die weiter durchfüttern ,2,0,7457117400761175318,7457117400761175318,positive
7457122396542796566,2025-01-07 10:44:00,schönredner,2,0,7457117400761175318,7457117400761175318,positive
7457119960654496545,2025-01-07 10:34:41,wer soll das noch glauben die bürger haben augen im kopfich kenne keinen einzigen der hier arbeitet,2,11,7457117400761175318,7457117400761175318,neutral
7461974935403348758,2025-01-20 12:35:17,herr audretsch wenn sie auch nur ein fünkchen anstand haben geben sie ihren listenplatz nun zurück ja  aber grüne kennen wohl keine moral oder wie ,1,0,7457117400761175318,7457117400761175318,neutral
7457202538773840662,2025-01-07 15:54:40,ein drittel arbeiten hier nicht und werden von steuergeldern finanziert ,1,0,7457117400761175318,7457117400761175318,neutral
7457176797328917270,2025-01-07 14:15:00,"so ist das
teamhabeck teamrobert habeck4kanzler habeckeffekt ",1,0,7457117400761175318,7457117400761175318,neutral
7457135948975981334,2025-01-07 11:36:23,wer es neun jahre hier aushält ohne zu fliehen hat es sich redlich verdient hier zu leben,1,0,7457117400761175318,7457117400761175318,neutral
7457129126726566678,2025-01-07 11:09:55,in welcher firrma sollen die denn alle arbeiten ich kenne keinensehe die nur in gruppen auf der straße rumlungern wo gibt es diese zahlen ,1,0,7457117400761175318,7457117400761175318,negative
7461627433297773314,2025-01-19 14:05:57,was sagen sie zu herrn gelbhaar wieso gibt es immer skandale im engeren kreis von habeck und so einer will kanzler werden,0,0,7457117400761175318,7457117400761175318,neutral
7457512878044889888,2025-01-08 11:59:04,die grünen lügen sobald der mund aufgeht,0,0,7457117400761175318,7457117400761175318,negative
7457191877813666565,2025-01-07 15:13:22,ich habe in einem monat mit erzieher_samuel 80000  verdient wenn du auch so erfolgreich sein willst such nach erzieher_samuel hier und folge ihm,0,0,7457117400761175318,7457117400761175318,neutral
7457153404026143510,2025-01-07 12:44:16,die arbeiten will auch keiner zurück schicken,0,0,7457117400761175318,7457117400761175318,neutral
7457134401517191958,2025-01-07 11:30:26,kannst du die zahlen beweisen,0,0,7457117400761175318,7457117400761175318,negative
